graph_id,stress,xing,iangle,xangle,ring,absedge,tsne,rng
grafo113.28,,,,,,,,
grafo114.26,,,,,,,,
grafo115.30,,,,,,,,
grafo116.28,,,,,,,,
grafo117.20,,,,,,,,
grafo118.43,,,,,,,,
grafo119.24,,,,,,,,
grafo120.40,,,,,,,,
grafo121.20,,,,,,,,
grafo122.12,,,,,,,,
grafo123.21,,,,,,,,
grafo124.28,,,,,,,,
grafo125.32,,,,,,,,
grafo126.22,,,,,,,,
grafo127.21,,,,,,,,
grafo128.35,,,,,,,,
grafo129.48,,,,,,,,
grafo130.31,,,,,,,,
grafo131.23,,,,,,,,
grafo132.21,,,,,,,,
grafo133.16,,,,,,,,
grafo134.40,,,,,,,,
grafo135.30,,,,,,,,
grafo136.21,,,,,,,,
grafo137.21,,,,,,,,
grafo138.38,,,,,,,,
grafo139.24,,,,,,,,
grafo140.22,,,,,,,,
grafo141.28,,,,,,,,
grafo142.33,,,,,,,,
grafo143.29,,,,,,,,
grafo144.12,,,,,,,,
grafo145.31,,,,,,,,
grafo146.22,,,,,,,,
grafo147.29,,,,,,,,
grafo148.28,,,,,,,,
grafo149.41,,,,,,,,
grafo150.31,,,,,,,,
grafo151.33,,,,,,,,
grafo152.21,,,,,,,,
grafo153.21,,,,,,,,
grafo154.33,,,,,,,,
grafo155.10,,,,,,,,
grafo156.21,,,,,,,,
grafo157.29,,,,,,,,
grafo158.21,,,,,,,,
grafo159.24,,,,,,,,
grafo160.30,,,,,,,,
grafo161.31,,,,,,,,
grafo162.24,,,,,,,,
grafo163.25,,,,,,,,
grafo164.22,,,,,,,,
grafo165.30,,,,,,,,
grafo166.10,,,,,,,,
grafo167.22,,,,,,,,
grafo168.31,,,,,,,,
grafo169.26,,,,,,,,
grafo170.49,,,,,,,,
grafo171.30,,,,,,,,
grafo172.30,,,,,,,,
grafo173.26,,,,,,,,
grafo174.27,,,,,,,,
grafo175.23,,,,,,,,
grafo176.30,,,,,,,,
grafo177.11,,,,,,,,
grafo178.33,,,,,,,,
grafo179.35,,,,,,,,
grafo180.27,,,,,,,,
grafo181.29,,,,,,,,
grafo182.23,,,,,,,,
grafo183.28,,,,,,,,
grafo184.41,,,,,,,,
grafo185.22,,,,,,,,
grafo186.30,,,,,,,,
grafo187.15,,,,,,,,
grafo188.23,,,,,,,,
grafo189.30,,,,,,,,
grafo190.20,,,,,,,,
grafo191.21,,,,,,,,
grafo192.13,,,,,,,,
grafo193.12,,,,,,,,
grafo194.23,,,,,,,,
grafo195.15,,,,,,,,
grafo196.30,,,,,,,,
grafo197.15,,,,,,,,
grafo198.18,,,,,,,,
grafo199.13,,,,,,,,
grafo200.11,,,,,,,,
grafo201.13,,,,,,,,
grafo202.13,,,,,,,,
grafo203.13,,,,,,,,
grafo204.15,,,,,,,,
grafo205.30,,,,,,,,
grafo206.12,,,,,,,,
grafo207.12,,,,,,,,
grafo208.38,,,,,,,,
grafo209.10,,,,,,,,
grafo210.10,,,,,,,,
grafo211.14,,,,,,,,
grafo212.14,,,,,,,,
grafo213.18,,,,,,,,
grafo214.22,,,,,,,,
grafo215.20,,,,,,,,
grafo216.18,,,,,,,,
grafo217.14,,,,,,,,
grafo218.17,,,,,,,,
grafo219.11,,,,,,,,
grafo220.13,,,,,,,,
grafo221.15,,,,,,,,
grafo222.11,,,,,,,,
grafo223.12,,,,,,,,
grafo224.17,,,,,,,,
grafo225.12,,,,,,,,
grafo226.14,,,,,,,,
grafo227.39,,,,,,,,
grafo228.19,,,,,,,,
grafo229.13,,,,,,,,
grafo230.14,,,,,,,,
grafo231.12,,,,,,,,
grafo232.16,,,,,,,,
grafo233.11,,,,,,,,
grafo234.12,,,,,,,,
grafo235.13,,,,,,,,
grafo236.15,,,,,,,,
grafo237.16,,,,,,,,
grafo238.10,,,,,,,,
grafo239.15,,,,,,,,
grafo240.11,,,,,,,,
grafo241.16,,,,,,,,
grafo242.14,,,,,,,,
grafo243.28,,,,,,,,
grafo244.20,,,,,,,,
grafo245.21,,,,,,,,
grafo246.11,,,,,,,,
grafo247.15,,,,,,,,
grafo248.27,,,,,,,,
grafo249.22,,,,,,,,
grafo250.13,,,,,,,,
grafo251.20,,,,,,,,
grafo252.12,,,,,,,,
grafo253.15,,,,,,,,
grafo254.10,,,,,,,,
grafo255.14,,,,,,,,
grafo256.12,,,,,,,,
grafo257.10,,,,,,,,
grafo258.13,,,,,,,,
grafo259.12,,,,,,,,
grafo260.14,,,,,,,,
grafo261.14,,,,,,,,
grafo262.11,,,,,,,,
grafo263.11,,,,,,,,
grafo264.17,,,,,,,,
grafo265.10,,,,,,,,
grafo266.13,,,,,,,,
grafo267.11,,,,,,,,
grafo268.15,,,,,,,,
grafo269.12,,,,,,,,
grafo270.20,,,,,,,,
grafo271.53,,,,,,,,
grafo272.14,,,,,,,,
grafo273.11,,,,,,,,
grafo274.17,,,,,,,,
grafo275.16,,,,,,,,
grafo276.17,,,,,,,,
grafo277.13,,,,,,,,
grafo278.12,,,,,,,,
grafo279.16,,,,,,,,
grafo280.11,,,,,,,,
grafo281.14,,,,,,,,
grafo282.14,,,,,,,,
grafo283.24,,,,,,,,
grafo284.28,,,,,,,,
