graph_id,stress,xing,iangle,xangle,ring,absedge,tsne,rng
grafo113.28,25.910769,2.0,114.71063,0.8797217,54.32945,0.050125517,0.101291865,0.2857142857142857
grafo114.26,17.055542,0.0,107.08843,0.0,50.37744,0.04371605,0.07158902,0.2173076923076922
grafo115.30,27.07576,0.0,129.28549,0.0,47.37623,0.070665434,0.076823495,0.26722222222222214
grafo116.28,53.14693,7.0,117.786316,2.6833382,90.12717,0.076405376,0.15558328,0.5767857142857142
grafo117.20,11.742404,0.0,84.07789,0.0,30.072723,0.06609672,0.07115779,0.27416666666666667
grafo118.43,119.428154,16.0,176.7128,6.9947786,152.2259,0.10935201,0.18548164,0.5776301218161684
grafo119.24,27.308594,5.0,103.71476,1.8756582,62.943943,0.049995,0.113343686,0.5694444444444444
grafo120.40,60.604725,1.0,168.2928,0.5098166,75.466125,0.056191295,0.11512141,0.26875000000000004
grafo121.20,20.498915,2.0,87.055695,0.71675974,48.807888,0.036963377,0.11451285,0.475
grafo122.12,3.5565612,0.0,53.747807,0.0,13.054086,0.055966485,0.041269243,0.0
grafo123.21,22.071003,3.0,83.49624,1.517884,49.570663,0.04982304,0.11234419,0.4293650793650793
grafo124.28,26.780815,1.0,120.48929,0.28094354,46.67814,0.06659209,0.09535022,0.2517857142857143
grafo125.32,35.075714,2.0,136.91432,0.9091165,62.242016,0.064565584,0.08865722,0.26770833333333344
grafo126.22,29.034111,4.0,87.671394,1.9953271,61.027115,0.07322694,0.13645065,0.4829545454545454
grafo127.21,9.769561,0.0,86.32622,0.0,27.860312,0.054369114,0.05620272,0.1507936507936508
grafo128.35,58.502666,5.0,160.7834,2.9213452,92.479225,0.06857481,0.13889858,0.5337074829931973
grafo129.48,109.5391,9.0,195.85852,6.721816,125.45981,0.10149302,0.15159854,0.48159722222222223
grafo130.31,38.89138,2.0,135.531,0.7658319,71.42513,0.057568558,0.11998064,0.49316436251920126
grafo131.23,14.964273,0.0,93.27854,0.0,37.644238,0.05990112,0.07155791,0.21449275362318843
grafo132.21,13.28199,0.0,88.21436,0.0,43.42538,0.061177466,0.07249843,0.28514739229024944
grafo133.16,9.726048,1.0,57.819862,0.46133405,26.851894,0.042578533,0.0851928,0.18333333333333335
grafo134.40,127.697334,19.0,167.69203,7.9333677,143.13438,0.14457488,0.19172457,0.7358333333333333
grafo135.30,43.575035,6.0,117.87729,3.042431,82.722496,0.058548875,0.12423129,0.507063492063492
grafo136.21,19.36011,3.0,82.056496,1.4375749,46.401512,0.06026288,0.09142205,0.4031746031746031
grafo137.21,35.224415,17.0,78.11889,8.221992,77.96005,0.08027317,0.13342327,0.6958427815570672
grafo138.38,103.008736,10.0,154.85501,4.4867206,120.46021,0.098107725,0.17473195,0.656798245614035
grafo139.24,13.776096,0.0,95.065506,0.0,43.311226,0.050967686,0.06673835,0.12152777777777768
grafo140.22,10.932201,0.0,89.94495,0.0,27.589682,0.08304401,0.06452519,0.18560606060606055
grafo141.28,24.940252,2.0,117.54742,0.71334547,58.45901,0.060188904,0.09219191,0.34574829931972784
grafo142.33,43.04186,0.0,152.40901,0.0,74.87328,0.05290044,0.114029676,0.31666666666666654
grafo143.29,25.50519,1.0,131.47813,0.480028,47.672726,0.10110878,0.105999105,0.24942528735632186
grafo144.12,3.4389305,0.0,48.30043,0.0,14.056358,0.034451585,0.044617444,0.08333333333333337
grafo145.31,43.35988,4.0,121.77668,2.21542,72.581604,0.0646575,0.13692988,0.45153609831029184
grafo146.22,30.114628,8.0,78.31196,4.6744757,63.629204,0.07931043,0.1272181,0.5632575757575757
grafo147.29,21.918165,0.0,122.50688,0.0,37.565723,0.08575348,0.073976204,0.14655172413793094
grafo148.28,29.893147,3.0,119.469955,0.689693,65.29476,0.059388004,0.103744425,0.48571428571428565
grafo149.41,91.405525,15.0,177.53583,8.453394,136.00584,0.07190081,0.16127752,0.6412311265969803
grafo150.31,29.802279,2.0,130.30042,1.1395419,56.32558,0.058606047,0.11018198,0.2930107526881721
grafo151.33,44.612843,2.0,143.41615,0.6228474,69.654785,0.052283328,0.10383971,0.4005050505050506
grafo152.21,13.4808,1.0,77.09961,0.008252573,37.44705,0.055757314,0.089118995,0.3015873015873016
grafo153.21,32.54583,9.0,88.39198,3.707981,72.920746,0.069469,0.13598329,0.8304421768707483
grafo154.33,45.806255,2.0,144.36482,1.0272381,62.960484,0.06506488,0.11718687,0.47171717171717176
grafo155.10,2.4595861,0.0,45.86528,0.0,11.43623,0.061827384,0.03930953,0.0
