graph_id,split
grafo1000.14,train
grafo10000.38,train
grafo10001.32,train
grafo10002.40,train
grafo10003.40,train
grafo10004.32,train
grafo10005.39,train
grafo10006.98,train
grafo10007.31,train
grafo10008.42,train
grafo10009.31,train
grafo1001.12,train
grafo10010.39,train
grafo10011.31,train
grafo10012.40,train
grafo10013.31,train
grafo10014.39,train
grafo10015.39,train
grafo10016.39,train
grafo10017.96,train
grafo10018.31,train
grafo10019.38,train
grafo1002.20,train
grafo10020.38,train
grafo10021.39,train
grafo10022.31,train
grafo10023.39,train
grafo10024.32,train
grafo10025.31,train
grafo10026.32,train
grafo10027.38,train
grafo10028.96,train
grafo10029.40,train
grafo1003.11,train
grafo10030.38,train
grafo10031.38,train
grafo10032.38,train
grafo10033.31,train
grafo10034.40,train
grafo10035.38,train
grafo10036.31,train
grafo10037.39,train
grafo10038.38,train
grafo10039.98,train
grafo1004.11,train
grafo10040.32,train
grafo10041.41,train
grafo10042.39,train
grafo10043.32,train
grafo10044.38,train
grafo10045.38,train
grafo10046.40,train
grafo10047.32,train
grafo10048.32,train
grafo10049.39,train
grafo1005.11,train
grafo10050.97,train
grafo10051.30,train
grafo10052.32,train
grafo10053.32,train
grafo10054.40,train
grafo10055.40,train
grafo10056.31,train
grafo10057.40,train
grafo10058.32,train
grafo10059.32,train
grafo1006.11,train
grafo10060.90,train
grafo10061.99,train
grafo10062.39,train
grafo10063.31,train
grafo10064.39,train
grafo10065.32,train
grafo10066.40,train
grafo10067.41,train
grafo10068.31,train
grafo10069.40,train
grafo1007.20,train
grafo10070.32,train
grafo10071.40,train
grafo10072.97,train
grafo10074.90,train
grafo10075.31,train
grafo10076.90,train
grafo10077.31,train
grafo10078.40,train
grafo10079.41,train
grafo1008.12,train
grafo10080.38,train
grafo10081.34,train
grafo10082.98,train
grafo10083.38,train
grafo10084.97,train
grafo10085.35,train
grafo10086.34,train
grafo10087.39,train
grafo10088.39,train
grafo10089.37,train
grafo1009.17,train
grafo10090.97,train
grafo10091.96,train
grafo10092.97,train
grafo10093.98,train
grafo10095.93,train
grafo10096.95,train
grafo10097.95,train
grafo10098.95,train
grafo10099.94,train
grafo1010.10,train
grafo10100.99,train
grafo10101.92,train
grafo10102.97,train
grafo10103.98,train
grafo10104.96,train
grafo10105.93,train
grafo10106.100,train
grafo10107.93,train
grafo10108.99,train
grafo10109.95,train
grafo1011.19,train
grafo10110.97,train
grafo10111.96,train
grafo10112.98,train
grafo10113.94,train
grafo10114.95,train
grafo10115.92,train
grafo10116.100,train
grafo10117.98,train
grafo10118.97,train
grafo1012.22,train
grafo10120.96,train
grafo10121.95,train
grafo10122.96,train
grafo10123.96,train
grafo10124.100,train
grafo10125.99,train
grafo10126.98,train
grafo10127.94,train
grafo10128.98,train
grafo10129.99,val
grafo1013.15,train
grafo10130.97,val
grafo10131.98,val
grafo10132.97,val
grafo10133.32,val
grafo10134.33,val
grafo10135.35,val
grafo10136.39,val
grafo10137.36,val
grafo10138.33,val
grafo10139.95,val
grafo1014.14,train
grafo10140.40,val
grafo10141.38,val
grafo10142.37,val
grafo10143.93,val
grafo10144.98,val
grafo10145.94,val
grafo10146.97,val
grafo10147.94,val
grafo10148.97,val
grafo10149.95,val
grafo1015.16,train
grafo10150.95,val
grafo10151.94,val
grafo10152.96,val
grafo10153.100,val
grafo10154.94,val
grafo10155.97,val
grafo10156.97,val
grafo10157.94,val
grafo10158.91,val
grafo10159.95,val
grafo1016.18,train
grafo10160.96,val
grafo10161.99,val
grafo10162.93,val
grafo10163.93,val
grafo10164.98,val
grafo10165.96,val
grafo10166.98,val
grafo10167.96,val
grafo10168.95,val
grafo10169.93,val
grafo1017.15,train
grafo10170.96,val
grafo10171.99,val
grafo10172.99,val
grafo10173.97,val
grafo10174.95,val
grafo10175.99,val
grafo10176.97,val
grafo10177.96,val
grafo10178.99,val
grafo10179.97,val
grafo1018.29,train
grafo10180.98,val
grafo10181.93,val
grafo10182.33,val
grafo10183.100,val
grafo10184.100,val
grafo10185.32,val
grafo10186.39,val
grafo10187.33,val
grafo10188.38,val
grafo10189.38,val
grafo1019.11,train
grafo10190.34,val
grafo10191.34,val
grafo10192.39,val
